,Perf,Aeri
Date,Recov,Won%
2018-07-03,6,63.2
2018-07-07,3,83.3
2018-07-11,4,100.0
2018-07-14,4,100.0
2018-08-10,7,50.0
2018-08-18,9,100.0
2018-08-25,6,50.0
,,
2018-09-01,7,66.7
2018-09-08,,
2018-09-11,,
2018-09-15,8,80.0
2018-09-22,11,60.0
,,
2018-09-29,9,85.7
2018-10-06,3,75.0
2018-10-12,,
2018-10-15,,
2018-10-22,5,100.0
2018-10-27,12,66.7
2018-11-03,3,75.0
,,
2018-12-15,9,50.0
2018-12-18,,
2018-12-22,6,100.0
2018-12-26,1,100.0
2018-12-29,6,87.5
2019-01-01,6,100.0
,,
2019-01-12,6,75.0
2019-01-19,3,85.7
2019-01-30,8,100.0
2019-02-03,12,50.0
2019-02-10,6,87.5
2019-02-23,8,83.3
2019-02-26,4,66.7
2019-03-03,2,71.4
2019-03-09,4,80.0
2019-03-16,0,0.0
2019-03-22,,
2019-03-25,,
2019-04-12,13,87.5
2019-04-20,4,71.4
2019-04-28,6,83.3
2019-05-06,4,66.7
2019-05-12,7,
2019-06-06,,
2019-06-09,,
,212,77.9
