,,,,,,,,,,,Tackles,Tackles,Tackles,Tackles,Tackles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Vs Dribbles,Blocks,Blocks,Blocks,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Match Report
2022-06-04,Sat,UEFA Nations League,League A,Away,L 0–1,eng England,hu Hungary,Y,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2022-06-07,Tue,UEFA Nations League,League A,Away,D 1–1,eng England,de Germany,Y,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2022-06-11,Sat,UEFA Nations League,League A,Home,D 0–0,eng England,it Italy,Y,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2022-06-14,Tue,UEFA Nations League,League A,Home,L 0–4,eng England,hu Hungary,N,,6,,0,,,,,,,,,,,0,,,,Match Report
2022-08-07,Sun,Premier League,Matchweek 1,Home,L 1–2,Manchester Utd,Brighton,Y*,CB,90,1,1,1,0,0,1,1,100.0,0,3,1,2,4,5,2,0,Match Report
2022-08-13,Sat,Premier League,Matchweek 2,Away,L 0–4,Manchester Utd,Brentford,Y*,CB,90,0,0,0,0,0,0,0,,0,4,3,1,1,1,2,0,Match Report
2022-09-04,Sun,Premier League,Matchweek 6,Home,W 3–1,Manchester Utd,Arsenal,N,CB,11,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Match Report
2022-09-08,Thu,Europa Lg,Group stage,Home,L 0–1,eng Manchester Utd,es Real Sociedad,Y*,CB,90,1,0,0,1,0,0,0,,0,1,0,1,1,2,2,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-09-15,Thu,Europa Lg,Group stage,Away,W 2–0,eng Manchester Utd,md Sheriff Tiraspol,N,CB,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
2022-09-23,Fri,UEFA Nations League,League A,Away,L 0–1,eng England,it Italy,Y,CB,90,,0,,,,,,,,,,,1,,,,Match Report
2022-09-26,Mon,UEFA Nations League,League A,Home,D 3–3,eng England,de Germany,Y,CB,90,,1,,,,,,,,,,,2,,,,Match Report
2022-10-27,Thu,Europa Lg,Group stage,Home,W 3–0,eng Manchester Utd,md Sheriff Tiraspol,N,CB,45,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Match Report
2022-10-30,Sun,Premier League,Matchweek 14,Home,W 1–0,Manchester Utd,West Ham,Y*,CB,90,1,0,1,0,0,1,1,100.0,0,4,3,1,0,1,8,0,Match Report
2022-11-03,Thu,Europa Lg,Group stage,Away,W 1–0,eng Manchester Utd,es Real Sociedad,N,FW,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Match Report
2022-11-10,Thu,EFL Cup,Third round,Home,W 4–2,Manchester Utd,Aston Villa,Y*,CB,90,,0,,,,,,,,,,,0,,,,Match Report
2022-11-21,Mon,World Cup,Group stage,Neutral,W 6–2,eng England,ir IR Iran,Y,CB,69,1,1,1,0,0,0,0,,0,1,0,1,0,1,1,0,Match Report
2022-11-25,Fri,World Cup,Group stage,Neutral,D 0–0,eng England,us United States,Y,CB,90,1,0,1,0,0,0,1,0.0,1,1,1,0,1,2,8,0,Match Report
2022-11-29,Tue,World Cup,Group stage,Neutral,W 3–0,eng England,wls Wales,Y,CB,90,0,0,0,0,0,0,0,,0,1,1,0,1,1,3,0,Match Report
,,,,,8-4-6,,,13/18,,1220,5,3,4,1,0,2,3,66.7,1,15,9,6,11,13,29,0,
