,,,,,,,,,,,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,,,,,,,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2018-07-03,Tue,FIFA World Cup,Round of 16,Neutral,D 1 (4)–1 (3),eng England,co Colombia,Y,CB,120,69,84,82.1,1143,524,40,46,87.0,22,25,88.0,6,10,60.0,0,0.0,0.0,1,6,0,0,4,Match Report
2018-07-07,Sat,FIFA World Cup,Quarter-finals,Neutral,W 2–0,eng England,se Sweden,Y,CB,90,43,51,84.3,724,256,18,20,90.0,18,22,81.8,3,4,75.0,0,0.2,0.2,2,2,0,0,4,Match Report
2018-07-11,Wed,FIFA World Cup,Semi-finals,Neutral,L 1–2,eng England,hr Croatia,Y,CB,120,49,54,90.7,1088,326,18,19,94.7,19,20,95.0,11,13,84.6,0,0.0,0.0,0,1,1,0,2,Match Report
2018-07-14,Sat,FIFA World Cup,Third-place match,Neutral,L 0–2,eng England,be Belgium,Y,CB,90,58,61,95.1,852,251,31,32,96.9,20,21,95.2,4,4,100.0,0,0.0,0.0,0,5,0,0,2,Match Report
2018-08-10,Fri,Premier League,Matchweek 1,Away,L 1–2,Leicester City,Manchester Utd,Y,CB,90,55,60,91.7,1047,372,24,27,88.9,21,21,100.0,8,9,88.9,0,0.0,0.0,0,8,0,0,6,Match Report
2018-08-18,Sat,Premier League,Matchweek 2,Home,W 2–0,Leicester City,Wolves,Y,CB,90,36,41,87.8,744,243,12,12,100.0,19,22,86.4,4,6,66.7,0,0.0,0.0,0,2,0,0,1,Match Report
2018-08-25,Sat,Premier League,Matchweek 3,Away,W 2–1,Leicester City,Southampton,Y,CB,90,44,49,89.8,887,380,18,18,100.0,18,19,94.7,8,12,66.7,0,0.4,0.0,1,4,1,0,7,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-01,Sat,Premier League,Matchweek 4,Home,L 1–2,Leicester City,Liverpool,Y,CB,90,50,58,86.2,1286,562,10,10,100.0,24,27,88.9,15,20,75.0,0,0.0,0.0,0,8,0,0,3,Match Report
2018-09-08,Sat,UEFA Nations League,League A,Home,L 1–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2018-09-11,Tue,Friendlies (M),Friendlies (M),Home,W 1–0,eng England,ch Switzerland,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2018-09-15,Sat,Premier League,Matchweek 5,Away,L 2–4,Leicester City,Bournemouth,Y,CB,90,53,62,85.5,972,398,26,28,92.9,21,21,100.0,6,13,46.2,0,0.0,0.0,0,4,0,0,6,Match Report
2018-09-22,Sat,Premier League,Matchweek 6,Home,W 3–1,Leicester City,Huddersfield,Y,CB,90,66,76,86.8,1433,412,11,12,91.7,41,45,91.1,11,16,68.8,0,0.0,0.0,0,6,0,0,6,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-09-29,Sat,Premier League,Matchweek 7,Away,W 2–0,Leicester City,Newcastle Utd,Y,CB,90,56,67,83.6,1242,348,16,17,94.1,29,35,82.9,10,13,76.9,0,0.0,0.0,0,3,0,0,3,Match Report
2018-10-06,Sat,Premier League,Matchweek 8,Home,L 1–2,Leicester City,Everton,Y,CB,90,57,69,82.6,1493,571,14,16,87.5,22,25,88.0,21,27,77.8,0,0.0,0.0,0,9,0,0,7,Match Report
2018-10-12,Fri,UEFA Nations League,League A,Away,D 0–0,eng England,hr Croatia,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2018-10-15,Mon,UEFA Nations League,League A,Away,W 3–2,eng England,es Spain,Y,CB,90,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2018-10-22,Mon,Premier League,Matchweek 9,Away,L 1–3,Leicester City,Arsenal,Y,CB,90,29,36,80.6,658,284,9,11,81.8,13,15,86.7,7,10,70.0,0,0.0,0.0,0,3,0,0,2,Match Report
2018-10-27,Sat,Premier League,Matchweek 10,Home,D 1–1,Leicester City,West Ham,Y,CB,90,68,78,87.2,1417,534,18,20,90.0,39,41,95.1,9,12,75.0,0,0.0,0.0,1,13,0,0,8,Match Report
2018-11-03,Sat,Premier League,Matchweek 11,Away,W 1–0,Leicester City,Cardiff City,Y,CB,26,13,14,92.9,236,52,5,5,100.0,4,5,80.0,3,3,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-12-15,Sat,Premier League,Matchweek 17,Away,L 0–1,Leicester City,Crystal Palace,Y,CB,90,59,70,84.3,1445,515,18,19,94.7,19,23,82.6,22,27,81.5,0,0.0,0.0,0,8,1,0,8,Match Report
2018-12-18,Tue,EFL Cup,Quarter-finals,Home,D 1 (1)–1 (3),Leicester City,Manchester City,Y*,CB,120,,,,,,,,,,,,,,,0,,,,,,,,Match Report
2018-12-22,Sat,Premier League,Matchweek 18,Away,W 1–0,Leicester City,Chelsea,Y,CB,90,18,25,72.0,440,217,5,6,83.3,7,8,87.5,6,10,60.0,0,0.0,0.0,0,3,0,0,0,Match Report
2018-12-26,Wed,Premier League,Matchweek 19,Home,W 2–1,Leicester City,Manchester City,Y,CB,90,21,30,70.0,489,302,8,9,88.9,8,10,80.0,5,10,50.0,0,0.0,0.0,0,1,1,0,1,Match Report
2018-12-29,Sat,Premier League,Matchweek 20,Home,L 0–1,Leicester City,Cardiff City,Y,CB,90,41,48,85.4,973,391,11,15,73.3,19,20,95.0,11,13,84.6,0,0.0,0.0,1,6,0,0,2,Match Report
2019-01-01,Tue,Premier League,Matchweek 21,Away,W 1–0,Leicester City,Everton,Y,CB,90,24,34,70.6,594,271,8,10,80.0,8,10,80.0,8,12,66.7,0,0.1,0.1,1,3,0,0,2,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-01-12,Sat,Premier League,Matchweek 22,Home,L 1–2,Leicester City,Southampton,Y,CB,90,71,83,85.5,1584,479,19,23,82.6,34,36,94.4,17,23,73.9,0,0.1,0.1,3,12,3,0,10,Match Report
2019-01-19,Sat,Premier League,Matchweek 23,Away,L 3–4,Leicester City,Wolves,Y,CB,47,21,28,75.0,444,157,10,11,90.9,7,10,70.0,4,5,80.0,0,0.0,0.0,1,0,0,0,1,Match Report
2019-01-30,Wed,Premier League,Matchweek 24,Away,D 1–1,Leicester City,Liverpool,Y,CB,90,20,27,74.1,380,172,10,12,83.3,5,7,71.4,4,4,100.0,0,0.0,0.0,0,1,0,0,1,Match Report
2019-02-03,Sun,Premier League,Matchweek 25,Home,L 0–1,Leicester City,Manchester Utd,Y,CB,90,51,59,86.4,1043,419,23,24,95.8,15,17,88.2,11,16,68.8,0,0.0,0.2,0,6,1,0,7,Match Report
2019-02-10,Sun,Premier League,Matchweek 26,Away,L 1–3,Leicester City,Tottenham,Y,CB,90,35,52,67.3,698,243,15,18,83.3,10,15,66.7,7,14,50.0,0,0.0,0.0,0,3,0,0,0,Match Report
