,,,,,,,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Dribbles,Dribbles,Dribbles,Dribbles,Dribbles,Receiving,Receiving,
Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Match Report
2017/8/11,Fri,Premier League,Matchweek 1,Away,L 3퇝?,Leicester City,Arsenal,Y,CB,90,36,7,16,13,8,3,36,1,2,50,0,0,15,0,Match Report
2017/8/19,Sat,Premier League,Matchweek 2,Home,W 2퇝?,Leicester City,Brighton,Y,CB,90,75,7,32,44,2,2,75,1,1,100,1,1,51,0,Match Report
2017/8/22,Tue,EFL Cup,Second round,Away,W 4퇝?,Leicester City,Sheffield Utd,Y,CB,80,,,,,,,,,,,,,,,Match Report
2017/8/26,Sat,Premier League,Matchweek 3,Away,L 0퇝?,Leicester City,Manchester Utd,Y,CB,90,46,11,26,19,3,1,46,2,2,100,0,0,13,0,Match Report
2017/9/9,Sat,Premier League,Matchweek 4,Home,L 1퇝?,Leicester City,Chelsea,Y,CB,90,51,7,17,31,4,1,51,1,1,100,0,1,26,2,Match Report
2017/9/16,Sat,Premier League,Matchweek 5,Away,D 1퇝?,Leicester City,Huddersfield,Y,CB,90,48,4,22,26,1,0,48,1,1,100,1,0,23,0,Match Report
,,,,,,,,,,,,,,,,,,,,,,,,,
2017/9/23,Sat,Premier League,Matchweek 6,Home,L 2퇝?,Leicester City,Liverpool,Y,CB,90,74,4,28,41,7,1,74,2,3,66.7,1,1,32,0,Match Report
2017/9/30,Sat,Premier League,Matchweek 7,Away,D 0퇝?,Leicester City,Bournemouth,Y,CB,90,41,5,25,16,0,0,41,0,0,,0,0,16,0,Match Report
2017/10/8,Sun,WCQ,First round,Away,W 1퇝?,eng England,lt Lithuania,Y,CB,90,,,,,,,,,,,,,,,Match Report
2017/10/16,Mon,Premier League,Matchweek 8,Home,D 1퇝?,Leicester City,West Brom,Y,CB,90,68,4,26,37,5,2,68,0,0,,0,0,41,0,Match Report
2017/10/21,Sat,Premier League,Matchweek 9,Away,W 2퇝?,Leicester City,Swansea City,Y,CB,90,49,12,28,19,2,2,49,1,1,100,0,2,22,0,Match Report
2017/10/24,Tue,EFL Cup,Fourth round,Home,W 3퇝?,Leicester City,Leeds United,Y,CB,90,,,,,,,,,,,,,,,Match Report
2017/10/29,Sun,Premier League,Matchweek 10,Home,W 2퇝?,Leicester City,Everton,Y,CB,90,45,9,25,19,1,0,45,0,0,,2,0,20,0,Match Report
2017/11/4,Sat,Premier League,Matchweek 11,Away,D 2퇝?,Leicester City,Stoke City,Y,CB,90,54,5,26,25,3,2,54,0,0,,1,0,36,0,Match Report
2017/11/10,Fri,Friendlies (M),Friendlies (M),Home,D 0퇝?,eng England,de Germany,Y,CB,90,,,,,,,,,,,,,,,Match Report
2017/11/14,Tue,Friendlies (M),Friendlies (M),Home,D 0퇝?,eng England,br Brazil,Y,CB,90,,,,,,,,,,,,,,,Match Report
2017/11/18,Sat,Premier League,Matchweek 12,Home,L 0퇝?,Leicester City,Manchester City,Y,CB,90,35,6,18,13,4,2,35,0,0,,1,0,14,1,Match Report
2017/11/24,Fri,Premier League,Matchweek 13,Away,D 1퇝?,Leicester City,West Ham,Y,CB,90,41,4,20,20,1,0,41,0,0,,0,0,21,0,Match Report
2017/11/28,Tue,Premier League,Matchweek 14,Home,W 2퇝?,Leicester City,Tottenham,Y,CB,90,39,6,23,14,2,1,39,1,2,50,1,0,17,0,Match Report
2017/12/2,Sat,Premier League,Matchweek 15,Home,W 1퇝?,Leicester City,Burnley,Y,CB,90,49,6,29,15,5,3,49,1,2,50,0,0,21,1,Match Report
2017/12/9,Sat,Premier League,Matchweek 16,Away,W 3퇝?,Leicester City,Newcastle Utd,Y,CB,90,67,5,23,41,4,2,67,4,4,100,0,0,39,0,Match Report
2017/12/13,Wed,Premier League,Matchweek 17,Away,W 4퇝?,Leicester City,Southampton,Y,CB,90,59,7,23,32,5,3,59,6,6,100,0,1,35,0,Match Report
2017/12/16,Sat,Premier League,Matchweek 18,Home,L 0퇝?,Leicester City,Crystal Palace,Y,CBDM,90,80,4,27,42,12,3,80,5,6,83.3,2,0,54,0,Match Report
2017/12/19,Tue,EFL Cup,Quarter-finals,Home,D 1 (3)퇝? (4),Leicester City,Manchester City,Y,CB,120,,,,,,,,,,,,,,,Match Report
2017/12/23,Sat,Premier League,Matchweek 19,Home,D 2퇝?,Leicester City,Manchester Utd,Y,CB,90,46,6,18,21,7,2,46,2,3,66.7,1,0,28,0,Match Report
2017/12/26,Tue,Premier League,Matchweek 20,Away,L 1퇝?,Leicester City,Watford,Y,CB,90,58,5,29,23,6,3,58,0,0,,1,3,29,0,Match Report
2017/12/30,Sat,Premier League,Matchweek 21,Away,L 1퇝?,Leicester City,Liverpool,Y,CB,90,58,11,24,31,5,2,58,2,2,100,2,0,27,1,Match Report
2018/1/1,Mon,Premier League,Matchweek 22,Home,W 3퇝?,Leicester City,Huddersfield,Y,CB,90,55,5,19,33,3,3,55,2,2,100,2,1,21,0,Match Report
2018/1/13,Sat,Premier League,Matchweek 23,Away,D 0퇝?,Leicester City,Chelsea,Y,CB,90,53,6,28,21,4,2,53,0,0,,0,0,31,1,Match Report
2018/1/20,Sat,Premier League,Matchweek 24,Home,W 2퇝?,Leicester City,Watford,Y,CB,90,64,7,29,33,3,2,64,1,1,100,1,0,34,1,Match Report
2018/1/27,Sat,FA Cup,Fourth round,Away,W 5퇝?,Leicester City,P'borough Utd,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018/1/31,Wed,Premier League,Matchweek 25,Away,L 1퇝?,Leicester City,Everton,Y,CB,90,68,10,41,24,4,1,68,0,0,,1,1,39,0,Match Report
2018/2/3,Sat,Premier League,Matchweek 26,Home,D 1퇝?,Leicester City,Swansea City,Y,CB,90,80,3,24,50,7,3,80,1,2,50,0,1,52,1,Match Report
2018/2/10,Sat,Premier League,Matchweek 27,Away,L 1퇝?,Leicester City,Manchester City,Y,CB,90,36,13,25,11,1,0,36,1,1,100,1,0,17,0,Match Report
2018/2/16,Fri,FA Cup,Fifth round,Home,W 1퇝?,Leicester City,Sheffield Utd,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018/2/24,Sat,Premier League,Matchweek 28,Home,D 1퇝?,Leicester City,Stoke City,Y,CB,90,68,5,33,28,9,4,68,3,3,100,1,1,27,0,Match Report
2018/3/3,Sat,Premier League,Matchweek 29,Home,D 1퇝?,Leicester City,Bournemouth,Y,CB,90,66,5,28,20,19,8,66,2,2,100,1,0,28,0,Match Report
2018/3/10,Sat,Premier League,Matchweek 30,Away,W 4퇝?,Leicester City,West Brom,Y,CB,90,72,7,30,42,2,1,72,2,3,66.7,0,0,40,0,Match Report
2018/3/18,Sun,FA Cup,Quarter-finals,Home,L 1퇝?,Leicester City,Chelsea,Y,CB,120,,,,,,,,,,,,,,,Match Report
2018/3/23,Fri,Friendlies (M),Friendlies (M),Away,W 1퇝?,eng England,nl Netherlands,N,,79,,,,,,,,,,,,,,,Match Report
2018/3/31,Sat,Premier League,Matchweek 32,Away,W 2퇝?,Leicester City,Brighton,Y,CB,90,64,9,23,33,9,3,64,0,0,,1,0,41,1,Match Report
2018/4/7,Sat,Premier League,Matchweek 33,Home,L 1퇝?,Leicester City,Newcastle Utd,Y,CB,90,82,1,22,50,12,2,82,3,3,100,1,1,55,0,Match Report
2018/4/14,Sat,Premier League,Matchweek 34,Away,L 1퇝?,Leicester City,Burnley,Y,CB,90,73,6,25,39,10,7,73,0,0,,1,1,36,1,Match Report
2018/4/19,Thu,Premier League,Matchweek 35,Home,D 0퇝?,Leicester City,Southampton,Y,CB,90,64,8,21,40,4,1,64,1,1,100,1,2,37,0,Match Report
2018/4/28,Sat,Premier League,Matchweek 36,Away,L 0퇝?,Leicester City,Crystal Palace,Y,CB,90,70,3,33,32,8,2,70,1,2,50,0,0,47,0,Match Report
2018/5/5,Sat,Premier League,Matchweek 37,Home,L 0퇝?,Leicester City,West Ham,Y,CMCB,90,57,7,18,32,7,0,57,0,0,,0,0,39,1,Match Report
2018/5/9,Wed,Premier League,Matchweek 31,Home,W 3퇝?,Leicester City,Arsenal,Y,CB,90,49,5,23,19,7,2,49,2,2,100,0,0,26,1,Match Report
2018/5/13,Sun,Premier League,Matchweek 38,Away,L 4퇝?,Leicester City,Tottenham,Y,CB,90,48,10,27,18,6,4,48,2,2,100,0,1,20,0,Match Report
2018/6/7,Thu,Friendlies (M),Friendlies (M),Home,W 2퇝?,eng England,cr Costa Rica,Y,CB,90,,,,,,,,,,,,,,,Match Report
2018/6/18,Mon,FIFA World Cup,Group stage,Neutral,W 2퇝?,eng England,tn Tunisia,Y,CB,90,91,1,14,62,16,6,91,1,2,50,0,0,64,1,Match Report
2018/6/24,Sun,FIFA World Cup,Group stage,Neutral,W 6퇝?,eng England,pa Panama,Y,CB,90,81,1,8,67,6,2,81,0,0,,0,1,74,1,Match Report
2018/6/28,Thu,FIFA World Cup,Group stage,Neutral,L 0퇝?,eng England,be Belgium,N,CB,45,35,3,20,13,6,1,35,1,1,100,0,0,26,0,Match Report
,,,,,21-14-17,,,50/52,,4674,2395,250,996,1209,230,89,2395,53,63,84.1,25,19,1334,14,
